,name,chip_name,T,meas,type,L,W,A,V_g_pos,V_g_neg,V_g_mean,I_c_pos,I_c_neg,I_c_mean,j_c,I_r_pos,I_r_neg,I_r_mean,R_N,R_sg,R_sg_R_N,I_c_R_N
0,CH1_JJ20x20_curved_T4p37K_Isweep,AJ08,4.37,Isweep,short,20,20,400,0.002758692378019539,-0.0027457247206193747,0.002752208549319457,4.050029e-05,-4.040053e-05,4.045041e-05,10.112602500000001,2.898552e-06,-1.799868e-06,2.34921e-06,13.640764916831058,381.026695222832,27.932941997460205,0.0005517745335994322
1,CH5_JJ15x15_straight_T4p35K_Isweep,AJ08,4.35,Isweep,long,15,15,225,0.0027606625347839035,-0.0027465982044657233,0.0027536303696248134,2.010009e-05,-1.990052e-05,2.0000305e-05,8.889024444444443,1.198801e-06,-1.099703e-06,1.149252e-06,25.738931259966815,715.3338884191295,27.791903292104745,0.0005147864755733705
2,CH2_JJ7x7_curved_T4p27K_Isweep,AJ09,4.27,Isweep,short,7,7,49,0.0027698158222308287,-0.0027548961892322555,0.002762356005731542,6.299972e-06,-6.299877e-06,6.2999245e-06,12.856988775510205,5.999227e-07,-5.498932e-07,5.7490795e-07,106.36969828060776,637.4384107310841,5.992669162692317,0.0006701210682556087
3,CH1_JJ9x9_curved_T4p27K_Isweep,AJ09,4.27,Isweep,short,9,9,81,0.0027802892876202384,-0.002759829550275252,0.0027700594189477455,1.33357e-05,-1.393471e-05,1.3635205e-05,16.833586419753086,5.341572e-07,-5.340407e-07,5.3409895e-07,72.24248153073661,2166.691893613833,29.991936153134255,0.0009850410453803075
4,CH6_JJ9x9_straight_T4p27K_Isweep,AJ09,4.27,Isweep,long,9,9,81,0.0027764788286967538,-0.002764847166802082,0.002770662997749418,1.509915e-05,-1.449985e-05,1.47995e-05,18.270987654320987,4.987814e-07,-4.987523e-07,4.9876685e-07,73.69513614641447,2267.576399881018,30.7696887264838,0.0010906511673988608
5,CH4_JJ5x5_straight_T4p27K_Isweep,AJ09,4.27,Isweep,long,5,5,25,0.002773700402071203,-0.0027543551475395956,0.002764027774805399,2.825111e-06,-2.875044e-06,2.8500775e-06,11.400310000000001,1.748886e-07,-1.74854e-07,1.748713e-07,258.7709819436636,7884.918499715226,30.4706441212633,0.000737517353290542
6,CH5_JJ7x7_straight_T4p27K_Isweep,AJ09,4.27,Isweep,long,7,7,49,0.0027688273085205903,-0.002755468082266349,0.0027621476953934698,7.149972e-06,-6.999766e-06,7.074869e-06,14.438508163265308,3.00035e-07,-3.000114e-07,3.0002319999999997e-07,126.08915785206266,3896.288271444957,30.90105713939637,0.0008920642741236647
7,CH2_JJ7x7_straight_T4p35K_Isweep,AL08,4.35,Isweep,long,7,7,49,0.0027690557883385675,-0.002758981770016887,0.002764018779177727,7.2002e-06,-7.300056e-06,7.250128e-06,14.796179591836736,2.986053e-07,-2.983434e-07,2.9847435e-07,122.61297204811181,1607.9329918974347,13.113889705458748,0.0008889597418092328
8,CH1_JJ5x5_straight_T4p37K_Isweep,AL08,4.37,Isweep,long,5,5,25,0.002774949656575202,-0.002767630977644988,0.002771290317110095,3.85004e-06,-3.849862e-06,3.849951e-06,15.399804,1.498793e-07,-1.498447e-07,1.49862e-07,267.54969834487184,7426.954014055667,27.759156747328177,0.0010300532286925375
9,CH3_JJ9x9_straight_T4p35K_Isweep,AL08,4.35,Isweep,long,9,9,81,0.002769366932615377,-0.002757711960893328,0.0027635394467543524,1.109933e-05,-1.140006e-05,1.1249695e-05,13.888512345679013,4.988833e-07,-4.987669e-07,4.988251e-07,70.96636957672523,850.2942307722087,11.981650404885286,0.0007983500129954379
10,CH1_JJ5x5_straight_T4p47K_IsweepTemp,AL08,4.47,IsweepTemp,long,5,5,25,0.0027634797950583834,-0.002749045150040383,0.002756262472549383,3.799083e-06,-3.799243e-06,3.799163e-06,15.196652,1.00059e-07,-9.986979e-08,9.9964395e-08,267.56188031867487,7032.33082975916,26.28300721083073,0.0010165111959171379
11,CH1_JJ5x5_straight_T4p42K_IsweepTemp,AL08,4.42,IsweepTemp,long,5,5,25,0.0027667818307946382,-0.002753598717565965,0.0027601902741803018,3.799069e-06,-3.799272e-06,3.7991705e-06,15.196682000000001,1.000299e-07,-9.98989e-08,9.99644e-08,267.5597782771176,7135.697520780848,26.669544902187237,0.001016505216616966
12,CH1_JJ5x5_straight_T4p40K_IsweepTemp,AL08,4.4,IsweepTemp,long,5,5,25,0.002767810262977947,-0.0027575871738666374,0.002762698718422292,3.799069e-06,-3.799272e-06,3.7991705e-06,15.196682000000001,1.000735e-07,-9.986979e-08,9.9971645e-08,267.5349880248204,7197.798110006029,26.904137522895724,0.001016411034221751
13,CH1_JJ5x5_straight_T4p37K_IsweepTemp,AL08,4.37,IsweepTemp,long,5,5,25,0.0027719843561989257,-0.0027582639682632902,0.0027651241622311078,3.799054e-06,-3.499692e-06,3.649373e-06,14.597492,1.000881e-07,-9.985524e-08,9.997167e-08,267.54969834487184,7252.311692857886,27.106409529603162,0.00097638864529792
14,CH1_JJ5x5_straight_T4p44K_IsweepTemp,AL08,4.44,IsweepTemp,long,5,5,25,0.00276558766486807,-0.0027512452418576583,0.0027584164533628643,3.799112e-06,-3.799258e-06,3.7991849999999998e-06,15.19674,1.000735e-07,-9.98989e-08,9.998619999999999e-08,267.53966374970406,7105.09242822488,26.557155408822027,0.0010164326774229195
15,CH4_JJ9x9_curved_T4p50K_Isweep,AI08,4.5,Isweep,short,9,9,81,0.0027567293515649086,-0.0027415303743130695,0.002749129862938989,1.179978e-05,-1.19991e-05,1.189944e-05,14.690666666666667,4.991307e-07,-4.987378e-07,4.989342499999999e-07,71.56176200460602,1791.747486258449,25.03777766320405,0.000851544893268089
16,CH3_JJ9x9_straight_T4p46K_Isweep,AI08,4.46,Isweep,long,9,9,81,0.002750339411432899,-0.002736102170222711,0.0027432207908278054,1.039967e-05,-1.010063e-05,1.0250149999999999e-05,12.654506172839506,6.001064e-07,-5.99699e-07,5.999027e-07,72.26402524186032,963.2315917122639,13.329337640526196,0.0007407170983328546
17,CH2_JJ7x7_straight_T4p47K_Isweep,AI08,4.47,Isweep,long,7,7,49,0.0027554830718464953,-0.002737623496442449,0.0027465532841444724,6.100032e-06,-5.39975e-06,5.749891e-06,11.73447142857143,1.199252e-06,-1.099586e-06,1.149419e-06,97.78983660335784,363.97457023322534,3.7220081644018967,0.0005622809013771179
18,CH2_JJ7x7_straight_T6p00K_IsweepTemp,AI08,6.0,IsweepTemp,long,7,7,49,0.0023176898506739804,-0.002300230674337332,0.002308960262505656,3.299414e-06,-2.999746e-06,3.1495799999999998e-06,6.427714285714286,1.498644e-06,-1.399094e-06,1.448869e-06,99.04047955772211,165.27498578413412,1.6687619700771912,0.00031193591360541035
19,CH2_JJ7x7_straight_T4p50K_IsweepTemp,AI08,4.5,IsweepTemp,long,7,7,49,0.0027479246944857997,-0.002736007713584385,0.0027419662040350924,6.200949e-06,-5.599839e-06,5.9003940000000006e-06,12.041620408163267,1.099936e-06,-1.099586e-06,1.099761e-06,97.81224789182252,362.6015322919828,3.707117872324225,0.0005771308005874223
20,CH4_JJ9x9_curved_T5p00K_IsweepTemp,AI08,5.0,IsweepTemp,short,9,9,81,0.0026831214425356354,-0.0026683220727182566,0.0026757217576269463,1.067553e-05,-1.084973e-05,1.076263e-05,13.287197530864198,6.991759e-07,-6.987393e-07,6.989576e-07,71.56603758894788,1080.1885285034598,15.093591386290136,0.0007702387831359381
21,CH3_JJ9x9_straight_T4p50K_IsweepTemp,AI08,4.5,IsweepTemp,long,9,9,81,0.0027446563854142837,-0.0027347237295336506,0.002739690057473967,1.01505e-05,-1.03246e-05,1.023755e-05,12.638950617283951,5.243201e-07,-5.238398e-07,5.2407995e-07,72.26410266813258,951.1351824334829,13.16193168275401,0.0007398073642701407
22,CH4_JJ9x9_curved_T4p50K_IsweepTemp,AI08,4.5,IsweepTemp,short,9,9,81,0.002751393650686478,-0.0027371738882538,0.002744283769470139,1.190057e-05,-1.207489e-05,1.1987729999999999e-05,14.799666666666667,5.24291e-07,-5.238835e-07,5.2408725e-07,71.56010904644646,1703.8317263214697,23.809797791330766,0.0008578432660193575
23,CH4_JJ9x9_curved_T6p50K_IsweepTemp,AI08,6.5,IsweepTemp,short,9,9,81,,,,6.125192e-06,-3.499648e-06,4.8124199999999996e-06,5.941259259259259,1.399472e-06,-1.399138e-06,1.399305e-06,71.47704825350726,124.55611049547193,1.742602884966786,0.0003439775765561434
24,CH3_JJ9x9_straight_T5p00K_IsweepTemp,AI08,5.0,IsweepTemp,long,9,9,81,0.0026757538700137497,-0.0026647767444201945,0.002670265307216972,9.275143e-06,-9.09924e-06,9.187191499999999e-06,11.34221172839506,6.992195e-07,-6.987539e-07,6.989867e-07,72.26937767398982,718.9923025255246,9.94878225974117,0.000663952612276769
25,CH3_JJ9x9_straight_T7p00K_IsweepTemp,AI08,7.0,IsweepTemp,long,9,9,81,,,,2.49983e-06,-2.398607e-06,2.4492185e-06,3.0237265432098765,1.498644e-06,-1.498396e-06,1.49852e-06,99.7612005074489,132.4156087392861,1.3273257345113745,0.00024433697786505325
26,CH4_JJ9x9_curved_T5p50K_IsweepTemp,AI08,5.5,IsweepTemp,short,9,9,81,0.002587600340134976,-0.0025709248747709983,0.002579262607452987,9.800497e-06,-9.624579e-06,9.712538e-06,11.990787654320988,8.744682e-07,-8.740171e-07,8.7424265e-07,71.55973361804018,595.9274185697315,8.327691963619865,0.0006950266320350927
27,CH2_JJ7x7_straight_T6p50K_IsweepTemp,AI08,6.5,IsweepTemp,long,7,7,49,,,,2.89896e-06,-2.898887e-06,2.8989235e-06,5.916170408163266,1.498629e-06,-1.599386e-06,1.5490075e-06,99.4390527346179,141.39001142467035,1.421876089286679,0.0002882662067901231
28,CH4_JJ9x9_curved_T7p00K_IsweepTemp,AI08,7.0,IsweepTemp,short,9,9,81,,,,4.199595e-06,-4.199595e-06,4.199595e-06,5.184685185185185,1.399429e-06,-1.399167e-06,1.399298e-06,71.35679138554585,111.20569607419536,1.5584458593904962,0.0002996696243187814
29,CH3_JJ9x9_straight_T6p50K_IsweepTemp,AI08,6.5,IsweepTemp,long,9,9,81,,,,4.899892e-06,-4.724803e-06,4.8123475e-06,5.941169753086419,1.224442e-06,-1.224093e-06,1.2242675000000001e-06,72.21045230024436,122.31232114838777,1.693831256447813,0.00034750178960095017
30,CH4_JJ9x9_curved_T6p00K_IsweepTemp,AI08,6.0,IsweepTemp,short,9,9,81,0.0029258154728976846,-0.002221819546795829,0.0025738175098467568,7.700175e-06,-7.17392e-06,7.4370475e-06,9.18154012345679,1.224427e-06,-1.0488e-06,1.1366135000000001e-06,71.52814449632652,151.5558268322399,2.1188278809612258,0.0005319582082060439
31,CH2_JJ7x7_straight_T5p50K_IsweepTemp,AI08,5.5,IsweepTemp,long,7,7,49,0.002580760619361334,-0.0025686826064403663,0.00257472161290085,4.100308e-06,-3.599082e-06,3.849694999999999e-06,7.856520408163265,1.30017e-06,-1.299893e-06,1.3000315000000002e-06,98.62919401132845,293.31765866687135,2.9739435834098082,0.00037969231503944104
32,CH2_JJ7x7_straight_T7p00K_IsweepTemp,AI08,7.0,IsweepTemp,long,7,7,49,,,,2.49983e-06,-2.398607e-06,2.4492185e-06,4.998405102040817,1.498644e-06,-1.498396e-06,1.49852e-06,99.7612005074489,132.4156087392861,1.3273257345113745,0.00024433697786505325
33,CH2_JJ7x7_straight_T5p00K_IsweepTemp,AI08,5.0,IsweepTemp,long,7,7,49,0.0026788722557579544,-0.002664684312628332,0.0026717782841931435,5.399503e-06,-5.100141e-06,5.249822e-06,10.713922448979593,1.199238e-06,-1.198961e-06,1.1990995e-06,98.19512242682667,341.704196536735,3.4798489791727403,0.0005155069140090481
34,CH3_JJ9x9_straight_T5p50K_IsweepTemp,AI08,5.5,IsweepTemp,long,9,9,81,0.002580367090863769,-0.002568114008691333,0.002574240549777551,7.875409e-06,-7.698851e-06,7.78713e-06,9.613740740740742,1.04963e-06,-1.048858e-06,1.049244e-06,72.27193285214935,432.8665803884773,5.989414746579646,0.0005627909364709578
35,CH3_JJ9x9_straight_T6p00K_IsweepTemp,AI08,6.0,IsweepTemp,long,9,9,81,0.0023711524026512045,-0.0024465559588624816,0.002408854180756843,6.650283e-06,-6.650225e-06,6.6502540000000005e-06,8.21019012345679,1.224427e-06,-1.224063e-06,1.224245e-06,72.24963947959347,144.66130364609486,2.00224256741037,0.0004804784539477244
